season,game_id,team,X1PP,X2PP,X3PP,AST,OREB,TO,MOV
2019,d27757b8-5e9d-4061-abb0-90141e48eb14,MLW,0.80952381,0.517241379,0.388888889,29,13,15,28
2018,1be1460b-e776-441a-b5b0-23db0de34101,PHI,0.9,0.561403509,0.333333333,30,11,13,19
2018,bbf2b45e-143f-4856-b9ca-2d0a9482c834,DEN,0.870967742,0.557692308,0.413793103,22,7,12,8
2017,705324d4-c31c-4522-8bf9-0f7120ef4de4,POR,0.692307692,0.4,0.518518519,21,10,12,5
2019,1291f063-cafd-4ea6-958d-1049145821eb,CHA,0.75,0.441860465,0.303030303,21,9,18,-23
2017,81d52d57-43ee-4a8c-9bf1-ab7e3d5275c7,OKC,0.7,0.527272727,0.314285714,23,18,9,-8
2018,0cf3407e-e790-46da-b8d8-8312aad94ade,TOR,0.884615385,0.428571429,0.289473684,17,15,15,-5
2017,51de4284-18dd-466f-9798-09757e3b8b0a,ATL,0.9,0.450980392,0.428571429,21,3,19,-5
2019,9ae96e5c-8b22-4559-b806-655477da1f00,MIN,0.857142857,0.446808511,0.357142857,23,8,8,-10
2017,80f34a8b-7b28-4ace-877a-bcd01d7897e0,BOS,0.814814815,0.5,0.482758621,26,5,12,21
2017,eb6e7b28-7be4-412d-abe3-a2bc022e527f,ORL,0.736842105,0.4,0.344827586,15,8,15,-7
2019,9967eb6c-3446-4ae8-a8c8-f777a6d44fa5,NY,0.575757576,0.448275862,0.4,14,9,14,-6
2017,2573dc5b-7f84-4b4e-a1d2-ddaeb9c9fadb,SA,0.928571429,0.614285714,0.230769231,32,14,5,16
2018,49500c42-3cae-4bb0-b6b6-0c81c86f985b,SAC,0.764705882,0.492753623,0.4,27,16,6,-4
2019,7881a2e6-e6d3-43e3-8694-458d45b3af10,MEM,0.875,0.580645161,0.421052632,39,11,8,13
2019,09d9e005-5caa-4315-abc5-b6c7a4df38cf,UTA,0.8125,0.547169811,0.4375,23,8,17,4
2017,bee86799-028d-42b1-a6a3-f268b4fd4f70,POR,0.761904762,0.392156863,0.444444444,18,7,18,-14
2017,2bc07b43-e4c8-41d0-a8f2-32ce87012c54,CHA,0.642857143,0.485294118,0.32,21,9,11,-11
2017,9c287cbd-ba31-4be6-86a7-6dde00b3ef04,HOU,0.782608696,0.722222222,0.295454545,24,9,15,16
2017,7cca5837-f876-4cc6-a002-7848e32b9e00,LAK,0.6875,0.613636364,0.272727273,25,7,15,10
2017,442c8f6e-5f0d-463c-8d1d-746486127a7a,MEM,0.772727273,0.666666667,0.25,29,11,14,-3
2018,264e2c74-ee32-433b-baa8-da3b744f9f44,CLE,0.846153846,0.477272727,0.419354839,23,2,12,-25
2018,9030c0a0-e7eb-4027-9ae0-061672217087,MIN,0.739130435,0.584615385,0.346153846,29,10,11,17
2018,2c3afca1-a44b-4447-9545-674b125934ef,MEM,0.625,0.533333333,0.44,24,9,13,8
2017,f3beb702-ccb2-445a-b7c5-a14def5fdaa3,MIA,0.875,0.566037736,0.357142857,20,7,16,6
2018,afe11e0d-e8a5-4c34-ac6b-8d2ebdef9fa2,LAK,0.833333333,0.589285714,0.325,29,8,9,-11
2017,3fcfee47-89ad-4bea-9032-047c31d9c367,SA,0.555555556,0.526315789,0.366666667,21,7,15,14
2019,0b5a6a7d-56d0-4334-9bdd-6f63fdbd4532,MIN,0.814814815,0.545454545,0.28,34,12,17,-10
2019,16f0d491-da9e-4990-8cd0-fd63d8e1d707,PHO,0.846153846,0.536231884,0.230769231,25,12,10,-7
2018,61d0041d-d57b-453b-a0d2-ba443a50ddf4,MIN,0.785714286,0.510204082,0.30952381,26,5,12,-20
2018,e13c3c98-2168-483d-a4b1-495be9d5091c,SAC,0.761904762,0.671875,0.314285714,36,15,14,22
2018,d0ced321-425b-43d1-b9bc-da318d0ac5ab,SA,0.846153846,0.480769231,0.333333333,18,7,15,-5
2018,aaa7463c-d619-47ec-ac03-7aec321a35a5,ATL,0.928571429,0.517857143,0.236842105,20,8,10,-20
2019,5b876a95-e816-4b69-b24a-2ac9d59ee184,DAL,0.695652174,0.581395349,0.414634146,28,9,13,7
2019,0b58a1e4-495c-4051-bd25-ac5bb470f09a,SA,0.8,0.528571429,0.3125,19,2,12,-8
2018,eca3467f-2281-446b-b9ba-bb01c54b5e42,BKN,0.75,0.634920635,0.4,19,10,16,-2
2019,60436f07-de26-440d-bbaa-bf21c02e9876,POR,0.892857143,0.53030303,0.290322581,19,14,10,10
2017,3984fa2f-df0c-43bf-a74c-e117c40254ad,MIN,0.705882353,0.555555556,0.428571429,24,19,10,11
2019,e2c85c46-73b2-4fba-b086-8abd5ab0707a,CHI,0.857142857,0.357142857,0.205882353,20,11,12,-10
2017,a073c6f3-d091-437b-86a4-5f293912a274,MIN,0.76,0.5,0.391304348,24,8,8,6
2019,0ef34648-c7ed-4057-b89c-a4ed931f249c,ATL,0.864864865,0.596153846,0.314285714,29,10,16,10
2018,016ae958-6296-4007-9c39-1b816dd24247,LAK,0.793103448,0.540983607,0.25,25,6,16,-14
2018,fa207046-56ca-40dd-bce8-c71816e9cb32,DAL,0.84,0.531914894,0.285714286,28,9,12,25
2019,458f7a6d-f8a1-48fa-9308-6ed50728c773,CHA,0.75,0.423076923,0.352941176,25,8,17,-17
2018,c9ca82be-4f09-478c-8826-5087bbe09bae,ATL,0.777777778,0.561403509,0.277777778,24,9,9,-16
